epoch     train_loss  train_accuracy  train_top_k_accuracy  valid_loss  valid_accuracy  valid_top_k_accuracy  time    
0         3.103904    0.108974        0.386018              2.647427    0.203600        0.591400              00:08     
1         2.526210    0.254607        0.642027              2.064762    0.354200        0.755600              00:07     
2         2.034895    0.400841        0.776643              1.645766    0.502000        0.845600              00:07     
3         1.643166    0.523838        0.860577              1.524631    0.535000        0.892000              00:07     
4         1.410123    0.575721        0.896434              1.186749    0.628600        0.924800              00:07     
5         1.277739    0.616186        0.917268              1.171168    0.636400        0.929400              00:07     
6         1.195807    0.633614        0.929287              1.095768    0.666800        0.933600              00:07     
7         1.101779    0.657051        0.942308              1.006778    0.680600        0.943000              00:07     
8         1.018390    0.683293        0.949119              1.004300    0.684200        0.943800              00:07     
9         0.961850    0.696915        0.951322              1.049533    0.684200        0.928600              00:07     
10        0.944593    0.708934        0.951322              0.941130    0.711200        0.945400              00:07     
11        0.890746    0.718550        0.960136              0.910046    0.715800        0.952800              00:07     
12        0.890630    0.722556        0.961138              1.015035    0.684600        0.935200              00:07     
13        0.847916    0.734175        0.961538              0.955266    0.696800        0.953000              00:07     
14        0.815905    0.750601        0.967748              0.897374    0.725000        0.950800              00:07     
15        0.782926    0.753806        0.965946              0.888739    0.719800        0.953400              00:07     
16        0.755629    0.770433        0.973357              0.909592    0.717000        0.954600              00:07     
17        0.713971    0.786458        0.975761              0.906055    0.722400        0.949600              00:07     
18        0.698550    0.776242        0.975962              0.854443    0.743400        0.952800              00:07     
19        0.682577    0.782652        0.978966              0.830368    0.750200        0.959800              00:08     
20        0.658012    0.791867        0.977764              0.840819    0.741200        0.955800              00:07     
21        0.653466    0.799880        0.979167              0.904423    0.718600        0.949600              00:07     
22        0.617224    0.813702        0.979567              0.836712    0.740600        0.960600              00:08     
23        0.613418    0.809095        0.978966              0.883049    0.735200        0.958000              00:07     
24        0.594196    0.813502        0.982171              0.904842    0.734400        0.955000              00:07     
25        0.576077    0.813101        0.981370              0.825635    0.747600        0.961200              00:07     
26        0.574874    0.827324        0.982572              0.852421    0.749800        0.958200              00:07     
27        0.565360    0.827324        0.980569              0.796055    0.763600        0.962200              00:08     
28        0.506064    0.841947        0.985978              0.868537    0.756400        0.956600              00:08     
29        0.513190    0.838742        0.985777              0.809070    0.758600        0.957200              00:07     
30        0.497029    0.844151        0.986979              0.889473    0.750200        0.956200              00:07     
31        0.489199    0.850160        0.984776              0.859025    0.752400        0.955400              00:07     
32        0.474971    0.847356        0.988181              0.825440    0.751800        0.960800              00:07     
33        0.475098    0.847556        0.989583              0.839891    0.756400        0.955200              00:07     
34        0.492676    0.850761        0.985978              0.841964    0.760000        0.952600              00:07     
35        0.473494    0.852364        0.987380              0.808771    0.768400        0.960600              00:07     
36        0.459320    0.854367        0.985978              0.761614    0.772800        0.964800              00:08     
37        0.432135    0.865785        0.988982              0.868009    0.743800        0.957000              00:08     
38        0.427765    0.867388        0.991186              0.829053    0.758600        0.957800              00:07     
39        0.422329    0.868790        0.989583              0.805173    0.772800        0.959000              00:08     
40        0.417219    0.873397        0.989383              0.805364    0.768400        0.961200              00:07     
41        0.404977    0.876803        0.990385              0.814263    0.767200        0.958600              00:07     
42        0.390753    0.879006        0.989583              0.763968    0.785000        0.964400              00:07     
43        0.376374    0.879207        0.990986              0.841025    0.767000        0.962000              00:07     
44        0.381617    0.884615        0.988582              0.818325    0.766400        0.960200              00:07     
45        0.405615    0.874599        0.988381              0.790335    0.774600        0.960000              00:08     
46        0.392385    0.886018        0.988782              0.781223    0.775200        0.957400              00:08     
47        0.383159    0.885817        0.991587              0.897270    0.755200        0.954800              00:07     
48        0.389272    0.885817        0.988782              0.808629    0.773600        0.960800              00:07     
49        0.361422    0.896234        0.992788              0.846547    0.768200        0.959800              00:09     
50        0.335307    0.895232        0.992989              0.851863    0.767200        0.959400              00:08     
51        0.328797    0.900441        0.991787              0.810813    0.774400        0.967000              00:08     
52        0.349484    0.897236        0.992788              0.884892    0.759000        0.956000              00:07     
53        0.332796    0.898237        0.992588              0.861472    0.766600        0.958000              00:07     
54        0.338791    0.898438        0.993990              0.788161    0.786200        0.961200              00:09     
55        0.319228    0.904647        0.993990              0.840320    0.767400        0.957600              00:09     
56        0.309383    0.904247        0.992989              0.845276    0.777000        0.962000              00:09     
57        0.314641    0.907452        0.992388              1.002563    0.746000        0.950800              00:10     
58        0.294660    0.911659        0.992788              0.880195    0.775800        0.960000              00:09     
59        0.298570    0.898438        0.993790              0.811017    0.787400        0.963800              00:08     
60        0.289403    0.912460        0.994391              0.922516    0.750400        0.954600              00:07     
61        0.316820    0.899840        0.992188              0.798102    0.784000        0.965000              00:08     
62        0.319657    0.902043        0.990585              0.804885    0.775200        0.963200              00:08     
63        0.297599    0.914062        0.994391              0.855128    0.766200        0.959800              00:08     
64        0.274932    0.919872        0.994191              0.802330    0.783000        0.961200              00:08     
65        0.282792    0.911058        0.993189              0.811892    0.770800        0.961800              00:08     
66        0.284552    0.912260        0.994792              0.808367    0.784200        0.964400              00:08     
67        0.281648    0.920873        0.994792              0.913837    0.757600        0.952600              00:07     
68        0.265016    0.921274        0.996595              0.873267    0.770000        0.955400              00:07     
69        0.257085    0.918670        0.995793              0.866860    0.775200        0.960200              00:08     
70        0.272262    0.914864        0.993590              0.842409    0.770000        0.959800              00:07     
71        0.274531    0.917869        0.992588              0.901367    0.764800        0.957200              00:07     
72        0.262786    0.921474        0.994191              0.866486    0.771000        0.960400              00:07     
73        0.270067    0.918269        0.995793              0.860550    0.766400        0.959400              00:07     
74        0.252731    0.922276        0.995994              0.786378    0.782400        0.967800              00:08     
75        0.253584    0.926883        0.991987              0.925380    0.769200        0.955400              00:08     
76        0.245667    0.925280        0.993990              0.895970    0.773600        0.958800              00:09     
77        0.240670    0.925881        0.995192              0.820416    0.779600        0.962000              00:08     
78        0.249227    0.926683        0.993590              0.893067    0.761800        0.958200              00:07     
79        0.261073    0.924479        0.993990              0.830275    0.779800        0.961600              00:07     
80        0.223043    0.934095        0.996194              0.936413    0.766600        0.955000              00:07     
81        0.240733    0.928686        0.994391              0.906768    0.758400        0.954400              00:08     
82        0.254000    0.918269        0.993189              0.930187    0.755000        0.956600              00:08     
83        0.227976    0.934896        0.996194              0.874477    0.778000        0.955800              00:07     
84        0.230472    0.933694        0.994391              0.997871    0.759200        0.951800              00:08     
85        0.240330    0.926883        0.993990              0.910218    0.774000        0.958800              00:07     
86        0.234282    0.929688        0.994591              0.872576    0.766200        0.960200              00:08     
87        0.226407    0.933894        0.995192              0.881380    0.774000        0.957200              00:07     
88        0.227839    0.930889        0.995393              0.893892    0.769200        0.954400              00:07     
89        0.210567    0.934495        0.994591              0.855287    0.783200        0.960000              00:08     
90        0.218816    0.932492        0.995192              0.877872    0.775600        0.960600              00:08     
91        0.205796    0.935697        0.996795              0.909827    0.765800        0.955000              00:07     
92        0.204224    0.940304        0.997796              0.803522    0.781400        0.964200              00:07     
93        0.223368    0.936298        0.995192              0.878692    0.768800        0.959800              00:08     
94        0.215908    0.932091        0.996394              0.895589    0.783600        0.961000              00:07     
95        0.206692    0.940104        0.996194              0.999321    0.749600        0.952200              00:07     
96        0.210129    0.934095        0.995192              0.807968    0.791000        0.963600              00:08     
97        0.205612    0.939503        0.996795              0.808689    0.791600        0.962200              00:07     
98        0.183675    0.941506        0.996995              0.935943    0.773800        0.955200              00:08     
99        0.202086    0.934696        0.995994              0.857480    0.783200        0.961000              00:07     
100       0.205491    0.939303        0.996194              0.837101    0.783200        0.960800              00:07     
101       0.201006    0.939103        0.996795              0.862927    0.779800        0.963200              00:07     
102       0.210670    0.939704        0.994992              0.866231    0.779200        0.958000              00:09     
103       0.185755    0.947115        0.996394              0.905223    0.776000        0.954600              00:07     
104       0.182263    0.942308        0.997196              0.912771    0.768600        0.957600              00:07     
105       0.198861    0.940505        0.995393              0.821645    0.789600        0.960600              00:07     
106       0.195320    0.937901        0.996995              0.852462    0.788000        0.961000              00:07     
107       0.182605    0.948918        0.996394              0.863926    0.776000        0.960400              00:08     
108       0.206455    0.939503        0.996595              0.880028    0.775000        0.956200              00:08     
109       0.195991    0.944511        0.995994              0.882743    0.775000        0.959400              00:08     
110       0.188961    0.947316        0.996394              0.943575    0.769400        0.954600              00:08     
111       0.184155    0.942508        0.996595              0.854086    0.785000        0.958200              00:07     
112       0.174667    0.945713        0.996394              0.922852    0.770400        0.959800              00:08     
113       0.180309    0.949319        0.996595              0.921059    0.777000        0.953200              00:07     
114       0.180647    0.946915        0.996795              0.858570    0.777200        0.953200              00:07     
115       0.167622    0.947316        0.997796              0.837934    0.788800        0.960800              00:08     
116       0.174208    0.943710        0.997396              0.851081    0.788400        0.958600              00:08     
117       0.166566    0.948918        0.995994              0.895061    0.779200        0.958600              00:08     
118       0.176170    0.946314        0.996795              0.844039    0.790400        0.962800              00:07     
119       0.166304    0.952123        0.996995              0.933559    0.764600        0.957800              00:07     
120       0.161219    0.951122        0.996995              0.919814    0.783200        0.959800              00:07     
121       0.176187    0.943309        0.995393              0.996574    0.765800        0.954400              00:07     
